timestamp,open,high,low,close,basevolume,usdtvolume,source_zip,datetime_utc
1767308940,4336.57,4338.1,4336.57,4338.09,0.3,1301.4185,20260102.zip,2026-01-01 23:09:00+00:00
1767309000,4338.09,4338.1,4338.09,4338.1,0.24,1041.144,20260102.zip,2026-01-01 23:10:00+00:00
1767309060,4338.1,4340,4338,4340,0.43,1865.8224,20260102.zip,2026-01-01 23:11:00+00:00
1767309180,4340,4340,4334.53,4334.53,1.86,8064.6358,20260102.zip,2026-01-01 23:13:00+00:00
1767309240,4334.53,4338.28,4334.53,4338.28,0.12,520.5936,20260102.zip,2026-01-01 23:14:00+00:00
1767309300,4338.28,4338.28,4334.71,4334.71,0.07,303.4297,20260102.zip,2026-01-01 23:15:00+00:00
1767309360,4334.71,4336.55,4334.71,4336.55,0.11,477.0205,20260102.zip,2026-01-01 23:16:00+00:00
1767309480,4336.55,4336.6,4336.55,4336.55,0.15,650.485,20260102.zip,2026-01-01 23:18:00+00:00
1767309540,4336.55,4339.62,4336.55,4339.62,0.05,216.9185,20260102.zip,2026-01-01 23:19:00+00:00
1767309600,4339.62,4339.62,4334.46,4334.46,0.5,2167.8895,20260102.zip,2026-01-01 23:20:00+00:00
1767309660,4334.46,4339.49,4334.46,4338.37,0.53,2299.3174,20260102.zip,2026-01-01 23:21:00+00:00
1767309720,4338.37,4339.76,4338.37,4339.76,0.33,1432.104,20260102.zip,2026-01-01 23:22:00+00:00
1767309780,4339.76,4342.8,4339.76,4342.8,0.17,737.9488,20260102.zip,2026-01-01 23:23:00+00:00
1767309900,4342.8,4347.89,4342.8,4345.58,1.86,8083.6625,20260102.zip,2026-01-01 23:25:00+00:00
1767309960,4345.58,4347.35,4345.58,4347.35,0.06,260.826,20260102.zip,2026-01-01 23:26:00+00:00
1767310080,4347.35,4348.28,4347.35,4348.28,0.22,956.6161,20260102.zip,2026-01-01 23:28:00+00:00
1767310320,4348.28,4348.32,4345.25,4345.25,0.04,173.8885,20260102.zip,2026-01-01 23:32:00+00:00
1767310380,4345.25,4348.02,4345.25,4348.02,0.02,86.9604,20260102.zip,2026-01-01 23:33:00+00:00
1767310440,4348.02,4351.29,4347.99,4351.29,3.09,13442.7871,20260102.zip,2026-01-01 23:34:00+00:00
1767310500,4351.29,4351.29,4351.29,4351.29,0.68,2958.8772,20260102.zip,2026-01-01 23:35:00+00:00
1767310560,4351.29,4351.29,4347.11,4347.98,1.17,5087.6323,20260102.zip,2026-01-01 23:36:00+00:00
1767310620,4347.98,4347.98,4346.23,4346.23,0.02,86.9246,20260102.zip,2026-01-01 23:37:00+00:00
1767310680,4346.23,4346.63,4346.21,4346.22,0.18,782.3473,20260102.zip,2026-01-01 23:38:00+00:00
1767310740,4346.22,4346.97,4345,4345,1.57,6822.3713,20260102.zip,2026-01-01 23:39:00+00:00
1767310800,4345,4345.01,4345,4345,0.59,2563.5503,20260102.zip,2026-01-01 23:40:00+00:00
1767311040,4345,4346.99,4345,4346.45,0.21,912.7445,20260102.zip,2026-01-01 23:44:00+00:00
1767311100,4346.45,4347,4346.45,4347,0.99,4303.528,20260102.zip,2026-01-01 23:45:00+00:00
1767311160,4347,4347.98,4346.86,4347.98,0.75,3260.5097,20260102.zip,2026-01-01 23:46:00+00:00
1767311280,4347.98,4347.98,4347.66,4347.66,0.15,652.1676,20260102.zip,2026-01-01 23:48:00+00:00
1767311340,4347.66,4347.66,4345.01,4345.02,0.17,738.7618,20260102.zip,2026-01-01 23:49:00+00:00
1767311400,4345.02,4347.07,4345.02,4347.07,0.04,173.8828,20260102.zip,2026-01-01 23:50:00+00:00
1767311460,4347.07,4347.07,4345.18,4345.18,0.1,434.5184,20260102.zip,2026-01-01 23:51:00+00:00
1767311520,4345.18,4346.14,4345.18,4346.14,0.63,2738.0036,20260102.zip,2026-01-01 23:52:00+00:00
1767311580,4346.14,4347.64,4346.14,4347.64,0.34,1477.8374,20260102.zip,2026-01-01 23:53:00+00:00
1767311640,4347.64,4347.98,4347.64,4347.98,0.02,86.9596,20260102.zip,2026-01-01 23:54:00+00:00
1767311700,4347.98,4349.08,4347.98,4349.08,0.02,86.9816,20260102.zip,2026-01-01 23:55:00+00:00
1767311760,4349.08,4355.23,4349.08,4350.66,1.64,7137.244,20260102.zip,2026-01-01 23:56:00+00:00
1767311820,4350.66,4355.81,4350.66,4355.8,0.17,740.4174,20260102.zip,2026-01-01 23:57:00+00:00
1767311880,4355.8,4355.8,4351.5,4354.75,0.23,1001.321,20260102.zip,2026-01-01 23:58:00+00:00
1767312000,4354.75,4354.75,4352.17,4352.17,0.08,348.1736,20260102.zip,2026-01-02 00:00:00+00:00
1767312060,4352.17,4352.17,4351.34,4351.34,1.81,7875.9288,20260102.zip,2026-01-02 00:01:00+00:00
1767312120,4351.34,4353.72,4351.34,4353.72,0.02,87.0744,20260102.zip,2026-01-02 00:02:00+00:00
1767312180,4353.72,4353.72,4351.34,4351.34,0.34,1479.4556,20260102.zip,2026-01-02 00:03:00+00:00
1767312300,4351.34,4351.35,4351.34,4351.34,0.64,2784.8609,20260102.zip,2026-01-02 00:05:00+00:00
1767312360,4351.34,4352.11,4351.34,4352.11,0.08,348.1688,20260102.zip,2026-01-02 00:06:00+00:00
1767312420,4352.11,4355.8,4351.34,4355.8,1.15,5007.3264,20260102.zip,2026-01-02 00:07:00+00:00
