venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,BTCUSDT,2026-01-02 15:00:00+00:00,60,89371.1,426370066.23653,4772.281,426370066.23653
futures,USDT-FUTURES,BTCUSDT,2026-01-02 16:00:00+00:00,60,90330.0,760500090.40882,8439.6144,760500090.40882
futures,USDT-FUTURES,BTCUSDT,2026-01-02 17:00:00+00:00,60,90315.8,257991665.32394,2849.0496,257991665.32394
futures,USDT-FUTURES,BTCUSDT,2026-01-02 18:00:00+00:00,59,89729.2,234605905.05544,2606.1295,234605905.05544
futures,USDT-FUTURES,BTCUSDT,2026-01-02 19:00:00+00:00,60,89851.1,91311410.29303,1015.8219,91311410.29303
futures,USDT-FUTURES,BTCUSDT,2026-01-02 20:00:00+00:00,60,89698.6,88389567.82006,984.352,88389567.82006
futures,USDT-FUTURES,BTCUSDT,2026-01-02 21:00:00+00:00,59,90020.0,67883024.71824,754.7456,67883024.71824
futures,USDT-FUTURES,BTCUSDT,2026-01-02 22:00:00+00:00,60,90148.6,89415595.52121,991.7279,89415595.52121
futures,USDT-FUTURES,BTCUSDT,2026-01-02 23:00:00+00:00,60,89949.4,44363751.75438,493.1299,44363751.75438
futures,USDT-FUTURES,BTCUSDT,2026-01-03 00:00:00+00:00,59,90113.9,35607056.00969,395.5569,35607056.00969
futures,USDT-FUTURES,BTCUSDT,2026-01-03 01:00:00+00:00,60,90234.2,31094515.51451,345.0209,31094515.51451
futures,USDT-FUTURES,BTCUSDT,2026-01-03 02:00:00+00:00,60,90286.4,39671605.8938,439.7197,39671605.8938
futures,USDT-FUTURES,BTCUSDT,2026-01-03 03:00:00+00:00,60,90280.0,31554747.33673,349.6947,31554747.33673
futures,USDT-FUTURES,BTCUSDT,2026-01-03 04:00:00+00:00,59,90122.0,107208299.31696,1189.1892,107208299.31696
futures,USDT-FUTURES,BTCUSDT,2026-01-03 05:00:00+00:00,60,89997.0,57992983.9624,644.3933,57992983.9624
futures,USDT-FUTURES,BTCUSDT,2026-01-03 06:00:00+00:00,60,89833.1,40328823.3948,448.4457,40328823.3948
futures,USDT-FUTURES,BTCUSDT,2026-01-03 07:00:00+00:00,59,89545.1,213943150.79404,2389.722,213943150.79404
futures,USDT-FUTURES,BTCUSDT,2026-01-03 08:00:00+00:00,60,89626.9,122834613.45999001,1370.5086,122834613.45999001
futures,USDT-FUTURES,BTCUSDT,2026-01-03 09:00:00+00:00,60,89760.0,126077521.94627,1403.7971,126077521.94627
futures,USDT-FUTURES,BTCUSDT,2026-01-03 10:00:00+00:00,60,89714.9,65397171.74468,728.7783,65397171.74468
futures,USDT-FUTURES,BTCUSDT,2026-01-03 11:00:00+00:00,59,89714.1,27322006.83284,304.6106,27322006.83284
futures,USDT-FUTURES,BTCUSDT,2026-01-03 12:00:00+00:00,60,89989.7,104071222.03782,1157.7918,104071222.03782
futures,USDT-FUTURES,BTCUSDT,2026-01-03 13:00:00+00:00,60,89963.4,60386699.97638,671.2436,60386699.97638
futures,USDT-FUTURES,BTCUSDT,2026-01-03 14:00:00+00:00,59,90085.6,78900883.26273,875.7886,78900883.26273
futures,USDT-FUTURES,BTCUSDT,2026-01-03 15:00:00+00:00,60,89929.9,36791333.19876,408.896,36791333.19876
futures,USDT-FUTURES,BTCUSDT,2026-01-03 16:00:00+00:00,60,90060.8,63725583.1075,707.7284,63725583.1075
futures,USDT-FUTURES,BTCUSDT,2026-01-03 17:00:00+00:00,59,90049.6,28050925.76098,311.5578,28050925.76098
futures,USDT-FUTURES,BTCUSDT,2026-01-03 18:00:00+00:00,60,90097.2,28797919.67367,319.6876,28797919.67367
futures,USDT-FUTURES,BTCUSDT,2026-01-03 19:00:00+00:00,60,90082.9,10542272.89767,117.04400000000001,10542272.89767
futures,USDT-FUTURES,BTCUSDT,2026-01-03 20:00:00+00:00,60,90330.0,63913270.48313,708.6165,63913270.48313
futures,USDT-FUTURES,BTCUSDT,2026-01-03 21:00:00+00:00,59,90522.2,89144884.1255,985.1597,89144884.1255
futures,USDT-FUTURES,BTCUSDT,2026-01-03 22:00:00+00:00,60,90552.3,82687503.32542999,913.0828,82687503.32542999
futures,USDT-FUTURES,BTCUSDT,2026-01-03 23:00:00+00:00,60,90591.7,55436373.71831,612.048,55436373.71831
futures,USDT-FUTURES,BTCUSDT,2026-01-04 00:00:00+00:00,59,91284.3,387470342.63832,4249.2155999999995,387470342.63832
futures,USDT-FUTURES,BTCUSDT,2026-01-04 01:00:00+00:00,60,91186.0,99089575.78495,1087.0676,99089575.78495
futures,USDT-FUTURES,BTCUSDT,2026-01-04 02:00:00+00:00,60,91090.9,45619120.49268,500.531,45619120.49268
futures,USDT-FUTURES,BTCUSDT,2026-01-04 03:00:00+00:00,59,91190.5,69503568.19968,762.2513,69503568.19968
futures,USDT-FUTURES,BTCUSDT,2026-01-04 04:00:00+00:00,60,91348.0,97238946.60897,1064.1397,97238946.60897
futures,USDT-FUTURES,BTCUSDT,2026-01-04 05:00:00+00:00,60,91429.4,49643501.08447,543.3897,49643501.08447
