,timestamp,open,high,low,close,datetime
8450,1771983060000000000,5179.95,5180.89,5179.1,5179.92,2026-02-25T01:31:00.000000Z
8451,1771983120000000000,5179.92,5181.98,5179.23,5181.98,2026-02-25T01:32:00.000000Z
8452,1771983180000000000,5181.98,5182.75,5180.51,5182.75,2026-02-25T01:33:00.000000Z
8453,1771983240000000000,5182.75,5184.31,5182.25,5183.01,2026-02-25T01:34:00.000000Z
8454,1771983300000000000,5183.01,5186.92,5183.0,5185.95,2026-02-25T01:35:00.000000Z
8455,1771983360000000000,5185.95,5187.2,5181.36,5181.36,2026-02-25T01:36:00.000000Z
8456,1771983420000000000,5181.36,5181.36,5177.94,5178.78,2026-02-25T01:37:00.000000Z
8457,1771983480000000000,5178.78,5179.49,5177.69,5177.7,2026-02-25T01:38:00.000000Z
8458,1771983540000000000,5177.7,5178.7,5176.72,5178.7,2026-02-25T01:39:00.000000Z
8459,1771983600000000000,5178.7,5181.88,5178.7,5181.87,2026-02-25T01:40:00.000000Z
8460,1771983660000000000,5181.87,5181.87,5180.72,5180.72,2026-02-25T01:41:00.000000Z
8461,1771983720000000000,5180.72,5182.29,5180.72,5181.59,2026-02-25T01:42:00.000000Z
8462,1771983780000000000,5181.59,5181.59,5176.4,5176.41,2026-02-25T01:43:00.000000Z
8463,1771983840000000000,5176.41,5178.09,5175.01,5177.32,2026-02-25T01:44:00.000000Z
8464,1771983900000000000,5177.32,5181.23,5177.32,5180.01,2026-02-25T01:45:00.000000Z
8465,1771983960000000000,5180.01,5180.41,5179.5,5180.2,2026-02-25T01:46:00.000000Z
8466,1771984020000000000,5180.2,5180.69,5178.52,5178.52,2026-02-25T01:47:00.000000Z
8467,1771984080000000000,5178.52,5181.88,5178.52,5181.88,2026-02-25T01:48:00.000000Z
8468,1771984140000000000,5181.88,5182.87,5181.82,5181.82,2026-02-25T01:49:00.000000Z
8469,1771984200000000000,5181.82,5181.82,5178.72,5178.72,2026-02-25T01:50:00.000000Z
8470,1771984260000000000,5178.72,5180.6,5178.12,5180.25,2026-02-25T01:51:00.000000Z
8471,1771984320000000000,5180.25,5180.25,5178.23,5178.99,2026-02-25T01:52:00.000000Z
8472,1771984380000000000,5178.99,5181.05,5178.22,5180.21,2026-02-25T01:53:00.000000Z
8473,1771984440000000000,5180.21,5181.87,5180.2,5180.2,2026-02-25T01:54:00.000000Z
8474,1771984500000000000,5180.2,5180.3,5178.7,5178.7,2026-02-25T01:55:00.000000Z
8475,1771984560000000000,5178.7,5178.7,5177.0,5177.0,2026-02-25T01:56:00.000000Z
8476,1771984620000000000,5177.0,5177.0,5173.0,5174.3,2026-02-25T01:57:00.000000Z
8477,1771984680000000000,5174.3,5175.09,5173.01,5173.61,2026-02-25T01:58:00.000000Z
8478,1771984740000000000,5173.61,5173.89,5171.42,5173.36,2026-02-25T01:59:00.000000Z
8479,1771984800000000000,5173.36,5177.64,5173.36,5177.59,2026-02-25T02:00:00.000000Z
8480,1771984860000000000,5177.59,5180.0,5177.12,5177.64,2026-02-25T02:01:00.000000Z
8481,1771984920000000000,5177.64,5178.14,5177.15,5177.15,2026-02-25T02:02:00.000000Z
8482,1771984980000000000,5177.15,5177.89,5174.42,5176.13,2026-02-25T02:03:00.000000Z
8483,1771985040000000000,5176.13,5179.73,5176.13,5179.73,2026-02-25T02:04:00.000000Z
8484,1771985100000000000,5179.73,5181.66,5179.5,5179.71,2026-02-25T02:05:00.000000Z
8485,1771985160000000000,5179.71,5181.28,5179.55,5181.28,2026-02-25T02:06:00.000000Z
8486,1771985220000000000,5181.28,5182.25,5180.71,5181.09,2026-02-25T02:07:00.000000Z
8487,1771985280000000000,5181.09,5182.34,5180.91,5181.62,2026-02-25T02:08:00.000000Z
8488,1771985340000000000,5181.62,5182.81,5181.62,5182.79,2026-02-25T02:09:00.000000Z
8489,1771985400000000000,5182.79,5184.0,5182.79,5183.24,2026-02-25T02:10:00.000000Z
8490,1771985460000000000,5183.24,5185.28,5183.24,5185.28,2026-02-25T02:11:00.000000Z
8491,1771985520000000000,5185.28,5185.28,5181.78,5181.78,2026-02-25T02:12:00.000000Z
8492,1771985580000000000,5181.78,5182.49,5180.9,5181.46,2026-02-25T02:13:00.000000Z
8493,1771985640000000000,5181.46,5186.58,5181.46,5186.21,2026-02-25T02:14:00.000000Z
8494,1771985700000000000,5186.21,5187.99,5186.21,5187.91,2026-02-25T02:15:00.000000Z
8495,1771985760000000000,5187.91,5190.97,5187.11,5190.5,2026-02-25T02:16:00.000000Z
8496,1771985820000000000,5190.5,5191.48,5188.78,5189.29,2026-02-25T02:17:00.000000Z
8497,1771985880000000000,5189.29,5189.29,5187.81,5188.08,2026-02-25T02:18:00.000000Z
8498,1771985940000000000,5188.08,5188.69,5188.07,5188.2,2026-02-25T02:19:00.000000Z
8499,1771986000000000000,5188.2,5188.21,5185.64,5186.06,2026-02-25T02:20:00.000000Z
8500,1771986060000000000,5186.06,5186.89,5185.32,5186.0,2026-02-25T02:21:00.000000Z
8501,1771986120000000000,5186.0,5186.0,5183.01,5184.4,2026-02-25T02:22:00.000000Z
8502,1771986180000000000,5184.4,5184.4,5182.16,5183.19,2026-02-25T02:23:00.000000Z
