timestamp_ms,open,high,low,close,base_volume,usdt_volume,quote_volume,datetime_utc,venue,product_type,symbol
1767265140000,87867.47,87867.47,87867.46,87867.46,0.108576,9540.29787246,9540.29787246,2026-01-01 10:59:00+00:00,spot,SPOT,BTCUSDT
1767265200000,87867.46,87867.47,87861.45,87861.45,0.819701,72023.99291047,72023.99291047,2026-01-01 11:00:00+00:00,spot,SPOT,BTCUSDT
1767265260000,87861.45,87861.46,87861.45,87861.45,0.414489,36417.60642669,36417.60642669,2026-01-01 11:01:00+00:00,spot,SPOT,BTCUSDT
1767265320000,87861.45,87861.46,87861.45,87861.45,0.354539,31150.3123779,31150.3123779,2026-01-01 11:02:00+00:00,spot,SPOT,BTCUSDT
1767265380000,87861.45,87861.46,87861.45,87861.46,0.812054,71348.24839696,71348.24839696,2026-01-01 11:03:00+00:00,spot,SPOT,BTCUSDT
1767265440000,87861.46,87879.63,87861.45,87879.62,2.917809,256367.61265967,256367.61265967,2026-01-01 11:04:00+00:00,spot,SPOT,BTCUSDT
1767265500000,87879.62,87879.63,87868.8,87868.8,3.185161,279897.3629607,279897.3629607,2026-01-01 11:05:00+00:00,spot,SPOT,BTCUSDT
1767265560000,87868.8,87868.81,87868.8,87868.81,0.686636,60333.88318449,60333.88318449,2026-01-01 11:06:00+00:00,spot,SPOT,BTCUSDT
1767265620000,87868.81,87894.97,87868.8,87874.28,4.486696,394309.28985702,394309.28985702,2026-01-01 11:07:00+00:00,spot,SPOT,BTCUSDT
1767265680000,87874.28,87891.3,87874.27,87891.29,0.449349,39490.71234749,39490.71234749,2026-01-01 11:08:00+00:00,spot,SPOT,BTCUSDT
1767265740000,87891.29,87891.3,87890.38,87890.38,0.197899,17393.56870585,17393.56870585,2026-01-01 11:09:00+00:00,spot,SPOT,BTCUSDT
1767265800000,87890.38,87903.19,87890.38,87903.19,0.820241,72094.30843516,72094.30843516,2026-01-01 11:10:00+00:00,spot,SPOT,BTCUSDT
1767265860000,87903.19,87940.0,87903.19,87933.53,3.024149,265918.93876061,265918.93876061,2026-01-01 11:11:00+00:00,spot,SPOT,BTCUSDT
1767265920000,87933.53,87933.53,87912.93,87912.94,2.029885,178485.38123706,178485.38123706,2026-01-01 11:12:00+00:00,spot,SPOT,BTCUSDT
1767265980000,87912.94,87936.89,87912.94,87936.89,3.73827,328669.84146114,328669.84146114,2026-01-01 11:13:00+00:00,spot,SPOT,BTCUSDT
1767266040000,87936.89,87972.06,87935.61,87935.62,7.618597,670091.52401556,670091.52401556,2026-01-01 11:14:00+00:00,spot,SPOT,BTCUSDT
1767266100000,87935.62,87982.36,87932.28,87982.35,4.77703,420132.13934723,420132.13934723,2026-01-01 11:15:00+00:00,spot,SPOT,BTCUSDT
1767266160000,87982.35,87982.35,87946.02,87946.03,0.951004,83652.28064525,83652.28064525,2026-01-01 11:16:00+00:00,spot,SPOT,BTCUSDT
1767266220000,87946.03,87955.25,87946.02,87950.48,0.600223,52789.03854875,52789.03854875,2026-01-01 11:17:00+00:00,spot,SPOT,BTCUSDT
1767266280000,87950.48,87950.48,87925.92,87925.92,1.152906,101392.21263082,101392.21263082,2026-01-01 11:18:00+00:00,spot,SPOT,BTCUSDT
1767266340000,87925.92,87932.41,87925.92,87932.4,0.500823,44036.09558497,44036.09558497,2026-01-01 11:19:00+00:00,spot,SPOT,BTCUSDT
1767266400000,87932.4,87932.4,87930.94,87930.94,0.010779,947.8126047,947.8126047,2026-01-01 11:20:00+00:00,spot,SPOT,BTCUSDT
1767266460000,87930.94,87930.95,87930.94,87930.94,0.034764,3056.83146795,3056.83146795,2026-01-01 11:21:00+00:00,spot,SPOT,BTCUSDT
1767266520000,87930.94,87930.95,87930.94,87930.94,0.012751,1121.20749273,1121.20749273,2026-01-01 11:22:00+00:00,spot,SPOT,BTCUSDT
1767266580000,87930.94,87930.95,87930.94,87930.94,0.03813,3352.80708622,3352.80708622,2026-01-01 11:23:00+00:00,spot,SPOT,BTCUSDT
1767266640000,87930.94,87930.95,87929.17,87929.18,2.752671,242042.07711331,242042.07711331,2026-01-01 11:24:00+00:00,spot,SPOT,BTCUSDT
1767266700000,87929.18,87929.18,87929.17,87929.18,0.157287,13830.11603544,13830.11603544,2026-01-01 11:25:00+00:00,spot,SPOT,BTCUSDT
1767266760000,87929.18,87929.18,87926.3,87926.31,0.114461,10064.16820115,10064.16820115,2026-01-01 11:26:00+00:00,spot,SPOT,BTCUSDT
1767266820000,87926.31,87926.31,87923.84,87923.84,0.616725,54226.11366299,54226.11366299,2026-01-01 11:27:00+00:00,spot,SPOT,BTCUSDT
1767266880000,87923.84,87923.85,87923.84,87923.85,0.112691,9908.2260212,9908.2260212,2026-01-01 11:28:00+00:00,spot,SPOT,BTCUSDT
1767266940000,87923.85,87923.85,87923.84,87923.85,0.236836,20823.53237367,20823.53237367,2026-01-01 11:29:00+00:00,spot,SPOT,BTCUSDT
1767267000000,87923.85,87944.16,87923.84,87944.16,1.413225,124262.36003722,124262.36003722,2026-01-01 11:30:00+00:00,spot,SPOT,BTCUSDT
1767267060000,87944.16,87952.76,87944.16,87952.75,0.177781,15635.84278911,15635.84278911,2026-01-01 11:31:00+00:00,spot,SPOT,BTCUSDT
1767267120000,87952.75,87954.76,87952.75,87954.76,0.054594,4801.79349816,4801.79349816,2026-01-01 11:32:00+00:00,spot,SPOT,BTCUSDT
1767267180000,87954.76,87954.76,87913.3,87913.31,3.12918,275196.87939335,275196.87939335,2026-01-01 11:33:00+00:00,spot,SPOT,BTCUSDT
1767267240000,87913.31,87920.27,87913.3,87915.98,0.641209,56373.49390494,56373.49390494,2026-01-01 11:34:00+00:00,spot,SPOT,BTCUSDT
1767267300000,87915.98,87915.99,87900.53,87900.53,1.516468,133310.59717502,133310.59717502,2026-01-01 11:35:00+00:00,spot,SPOT,BTCUSDT
1767267360000,87900.53,87901.01,87878.15,87878.15,3.30759,290733.58246309,290733.58246309,2026-01-01 11:36:00+00:00,spot,SPOT,BTCUSDT
1767267420000,87878.15,87885.0,87878.15,87884.99,3.313903,291227.22405325,291227.22405325,2026-01-01 11:37:00+00:00,spot,SPOT,BTCUSDT
1767267480000,87884.99,87885.0,87882.03,87882.03,0.444917,39101.18421663,39101.18421663,2026-01-01 11:38:00+00:00,spot,SPOT,BTCUSDT
1767267540000,87882.03,87882.04,87882.03,87882.03,0.323717,28448.90876958,28448.90876958,2026-01-01 11:39:00+00:00,spot,SPOT,BTCUSDT
1767267600000,87882.03,87889.61,87882.03,87889.61,1.364899,119954.01292459,119954.01292459,2026-01-01 11:40:00+00:00,spot,SPOT,BTCUSDT
1767267660000,87889.61,87902.52,87889.61,87902.52,1.33113,117004.67758965,117004.67758965,2026-01-01 11:41:00+00:00,spot,SPOT,BTCUSDT
1767267720000,87902.52,87902.52,87902.51,87902.51,0.58265,51216.40176054,51216.40176054,2026-01-01 11:42:00+00:00,spot,SPOT,BTCUSDT
1767267780000,87902.51,87902.52,87902.51,87902.52,0.009378,824.34978413,824.34978413,2026-01-01 11:43:00+00:00,spot,SPOT,BTCUSDT
1767267840000,87902.52,87912.51,87902.51,87912.5,2.641379,232188.34592491,232188.34592491,2026-01-01 11:44:00+00:00,spot,SPOT,BTCUSDT
1767267900000,87912.5,87932.55,87912.5,87932.55,0.813457,71517.12266454,71517.12266454,2026-01-01 11:45:00+00:00,spot,SPOT,BTCUSDT
1767267960000,87932.55,87944.5,87932.54,87944.5,0.2081,18300.33986853,18300.33986853,2026-01-01 11:46:00+00:00,spot,SPOT,BTCUSDT
1767268020000,87944.5,87956.2,87944.49,87956.2,0.408878,35961.1645598,35961.1645598,2026-01-01 11:47:00+00:00,spot,SPOT,BTCUSDT
1767268080000,87956.2,87956.2,87956.19,87956.19,0.102416,9008.12176236,9008.12176236,2026-01-01 11:48:00+00:00,spot,SPOT,BTCUSDT
1767268140000,87956.19,87961.4,87956.19,87961.39,0.615628,54149.26062313,54149.26062313,2026-01-01 11:49:00+00:00,spot,SPOT,BTCUSDT
1767268200000,87961.39,87961.4,87961.39,87961.39,0.642091,56479.21990697,56479.21990697,2026-01-01 11:50:00+00:00,spot,SPOT,BTCUSDT
1767268260000,87961.39,87970.0,87961.39,87970.0,1.561875,137388.08103344,137388.08103344,2026-01-01 11:51:00+00:00,spot,SPOT,BTCUSDT
1767268320000,87970.0,87979.29,87969.99,87972.22,0.338507,29780.09006544,29780.09006544,2026-01-01 11:52:00+00:00,spot,SPOT,BTCUSDT
1767268380000,87972.22,87993.99,87972.22,87987.8,2.401552,211315.51139226,211315.51139226,2026-01-01 11:53:00+00:00,spot,SPOT,BTCUSDT
1767268440000,87987.8,87987.81,87985.71,87985.71,0.436681,38422.58897247,38422.58897247,2026-01-01 11:54:00+00:00,spot,SPOT,BTCUSDT
1767268500000,87985.71,87985.72,87980.18,87980.19,1.772584,155959.59006563,155959.59006563,2026-01-01 11:55:00+00:00,spot,SPOT,BTCUSDT
1767268560000,87980.19,87980.19,87980.18,87980.19,1.028738,90508.55450864,90508.55450864,2026-01-01 11:56:00+00:00,spot,SPOT,BTCUSDT
1767268620000,87980.19,87996.3,87980.18,87996.29,1.42719,125570.21244627,125570.21244627,2026-01-01 11:57:00+00:00,spot,SPOT,BTCUSDT
1767268680000,87996.29,88020.0,87996.29,88020.0,2.859391,251623.60168296,251623.60168296,2026-01-01 11:58:00+00:00,spot,SPOT,BTCUSDT
1767268740000,88020.0,88020.0,88019.99,88020.0,0.053701,4726.76185262,4726.76185262,2026-01-01 11:59:00+00:00,spot,SPOT,BTCUSDT
1767268800000,88020.0,88020.0,88012.03,88012.04,2.436426,214450.74306724,214450.74306724,2026-01-01 12:00:00+00:00,spot,SPOT,BTCUSDT
1767268860000,88012.04,88012.04,88010.2,88010.2,1.24234,109339.47339949,109339.47339949,2026-01-01 12:01:00+00:00,spot,SPOT,BTCUSDT
1767268920000,88010.2,88010.2,87981.63,87986.53,1.811743,159426.08769029,159426.08769029,2026-01-01 12:02:00+00:00,spot,SPOT,BTCUSDT
1767268980000,87986.53,87997.07,87986.53,87997.07,1.160441,102107.76695435,102107.76695435,2026-01-01 12:03:00+00:00,spot,SPOT,BTCUSDT
1767269040000,87997.07,88012.7,87997.06,88012.69,1.241815,109283.14725286,109283.14725286,2026-01-01 12:04:00+00:00,spot,SPOT,BTCUSDT
1767269100000,88012.69,88030.0,88012.69,88030.0,1.577739,138867.0035713,138867.0035713,2026-01-01 12:05:00+00:00,spot,SPOT,BTCUSDT
1767269160000,88030.0,88030.0,88004.93,88004.93,3.224819,283850.02298427,283850.02298427,2026-01-01 12:06:00+00:00,spot,SPOT,BTCUSDT
1767269280000,87998.11,87998.11,87998.1,87998.1,0.106883,9405.5019181,9405.5019181,2026-01-01 12:08:00+00:00,spot,SPOT,BTCUSDT
1767269340000,87998.1,88011.92,87998.1,88011.92,2.21347,194783.73141316,194783.73141316,2026-01-01 12:09:00+00:00,spot,SPOT,BTCUSDT
1767269400000,88011.92,88030.0,88011.92,88029.86,0.739445,65085.71890606,65085.71890606,2026-01-01 12:10:00+00:00,spot,SPOT,BTCUSDT
1767269460000,88029.86,88029.87,88029.86,88029.87,0.00284,250.00482384,250.00482384,2026-01-01 12:11:00+00:00,spot,SPOT,BTCUSDT
1767269520000,88029.87,88038.52,88029.86,88038.52,0.189909,16718.01069302,16718.01069302,2026-01-01 12:12:00+00:00,spot,SPOT,BTCUSDT
1767269580000,88038.52,88038.52,88031.17,88031.17,1.586056,139631.81505915,139631.81505915,2026-01-01 12:13:00+00:00,spot,SPOT,BTCUSDT
1767269640000,88031.17,88031.17,88003.73,88003.73,1.180786,103934.49519678,103934.49519678,2026-01-01 12:14:00+00:00,spot,SPOT,BTCUSDT
1767269700000,88003.73,88003.73,87995.03,88002.45,3.278066,288467.81715476,288467.81715476,2026-01-01 12:15:00+00:00,spot,SPOT,BTCUSDT
1767269760000,88002.45,88024.3,88002.44,88024.3,1.044534,91928.55056584,91928.55056584,2026-01-01 12:16:00+00:00,spot,SPOT,BTCUSDT
1767269820000,88024.3,88024.3,87993.56,87993.56,0.674088,59325.87980924,59325.87980924,2026-01-01 12:17:00+00:00,spot,SPOT,BTCUSDT
1767269880000,87993.56,87993.57,87975.89,87975.9,0.683024,60096.81907136,60096.81907136,2026-01-01 12:18:00+00:00,spot,SPOT,BTCUSDT
1767269940000,87975.9,87978.38,87975.89,87978.38,0.601813,52946.23608732,52946.23608732,2026-01-01 12:19:00+00:00,spot,SPOT,BTCUSDT
1767270000000,87978.38,87978.38,87978.37,87978.37,1.24851,109841.8749298,109841.8749298,2026-01-01 12:20:00+00:00,spot,SPOT,BTCUSDT
1767270060000,87978.37,87978.38,87968.67,87968.67,1.327799,116815.96281535,116815.96281535,2026-01-01 12:21:00+00:00,spot,SPOT,BTCUSDT
1767270120000,87968.67,87971.31,87968.67,87971.3,0.298852,26289.62776886,26289.62776886,2026-01-01 12:22:00+00:00,spot,SPOT,BTCUSDT
1767270180000,87971.3,87971.31,87950.01,87950.01,2.12069,186542.51888964,186542.51888964,2026-01-01 12:23:00+00:00,spot,SPOT,BTCUSDT
1767270240000,87950.01,87983.44,87950.01,87983.44,5.057536,444836.52218032,444836.52218032,2026-01-01 12:24:00+00:00,spot,SPOT,BTCUSDT
1767270300000,87983.44,87997.23,87983.44,87997.23,0.620374,54584.50089298,54584.50089298,2026-01-01 12:25:00+00:00,spot,SPOT,BTCUSDT
1767270360000,87997.23,87999.57,87997.22,87999.57,0.187274,16479.66962242,16479.66962242,2026-01-01 12:26:00+00:00,spot,SPOT,BTCUSDT
1767270420000,87999.57,88009.25,87999.57,88009.25,1.065246,93744.00491055,93744.00491055,2026-01-01 12:27:00+00:00,spot,SPOT,BTCUSDT
1767270480000,88009.25,88009.25,88006.01,88006.01,0.882408,77659.74223988,77659.74223988,2026-01-01 12:28:00+00:00,spot,SPOT,BTCUSDT
1767270540000,88006.01,88006.02,88006.01,88006.02,0.014022,1234.02041141,1234.02041141,2026-01-01 12:29:00+00:00,spot,SPOT,BTCUSDT
