,timestamp,open,high,low,close,datetime
6893,1772081640000000000,89.34,89.36,89.34,89.35,2026-02-26T04:54:00.000000Z
6894,1772081700000000000,89.35,89.37,89.35,89.37,2026-02-26T04:55:00.000000Z
6895,1772081760000000000,89.37,89.37,89.31,89.32,2026-02-26T04:56:00.000000Z
6896,1772081820000000000,89.32,89.38,89.32,89.32,2026-02-26T04:57:00.000000Z
6897,1772081880000000000,89.32,89.32,89.21,89.23,2026-02-26T04:58:00.000000Z
6898,1772081940000000000,89.23,89.29,89.13,89.28,2026-02-26T04:59:00.000000Z
6899,1772082000000000000,89.28,89.32,89.28,89.3,2026-02-26T05:00:00.000000Z
6900,1772082060000000000,89.3,89.35,89.26,89.33,2026-02-26T05:01:00.000000Z
6901,1772082120000000000,89.33,89.33,89.19,89.19,2026-02-26T05:02:00.000000Z
6902,1772082180000000000,89.19,89.26,89.15,89.22,2026-02-26T05:03:00.000000Z
6903,1772082240000000000,89.22,89.3,89.21,89.28,2026-02-26T05:04:00.000000Z
6904,1772082300000000000,89.28,89.31,89.22,89.26,2026-02-26T05:05:00.000000Z
6905,1772082360000000000,89.26,89.37,89.26,89.37,2026-02-26T05:06:00.000000Z
6906,1772082420000000000,89.37,89.46,89.37,89.43,2026-02-26T05:07:00.000000Z
6907,1772082480000000000,89.43,89.58,89.41,89.58,2026-02-26T05:08:00.000000Z
6908,1772082540000000000,89.58,89.62,89.52,89.61,2026-02-26T05:09:00.000000Z
6909,1772082600000000000,89.61,89.74,89.61,89.7,2026-02-26T05:10:00.000000Z
6910,1772082660000000000,89.7,89.74,89.66,89.71,2026-02-26T05:11:00.000000Z
6911,1772082720000000000,89.71,89.9,89.71,89.89,2026-02-26T05:12:00.000000Z
6912,1772082780000000000,89.89,89.89,89.83,89.85,2026-02-26T05:13:00.000000Z
6913,1772082840000000000,89.85,89.86,89.83,89.83,2026-02-26T05:14:00.000000Z
6914,1772082900000000000,89.83,89.95,89.81,89.94,2026-02-26T05:15:00.000000Z
6915,1772082960000000000,89.94,89.96,89.9,89.93,2026-02-26T05:16:00.000000Z
6916,1772083020000000000,89.93,89.95,89.89,89.93,2026-02-26T05:17:00.000000Z
6917,1772083080000000000,89.93,89.95,89.85,89.94,2026-02-26T05:18:00.000000Z
6918,1772083140000000000,89.94,89.94,89.78,89.78,2026-02-26T05:19:00.000000Z
6919,1772083200000000000,89.78,89.85,89.67,89.82,2026-02-26T05:20:00.000000Z
6920,1772083260000000000,89.82,89.87,89.78,89.85,2026-02-26T05:21:00.000000Z
6921,1772083320000000000,89.85,89.85,89.78,89.84,2026-02-26T05:22:00.000000Z
6922,1772083380000000000,89.84,89.9,89.83,89.9,2026-02-26T05:23:00.000000Z
6923,1772083440000000000,89.9,89.95,89.88,89.92,2026-02-26T05:24:00.000000Z
6924,1772083500000000000,89.92,89.96,89.88,89.93,2026-02-26T05:25:00.000000Z
6925,1772083560000000000,89.93,89.93,89.84,89.84,2026-02-26T05:26:00.000000Z
6926,1772083620000000000,89.84,89.89,89.81,89.81,2026-02-26T05:27:00.000000Z
6927,1772083680000000000,89.81,89.82,89.72,89.76,2026-02-26T05:28:00.000000Z
6928,1772083740000000000,89.76,89.77,89.75,89.77,2026-02-26T05:29:00.000000Z
6929,1772083800000000000,89.77,89.9,89.74,89.75,2026-02-26T05:30:00.000000Z
6930,1772083860000000000,89.75,89.75,89.64,89.7,2026-02-26T05:31:00.000000Z
6931,1772083920000000000,89.7,89.74,89.64,89.64,2026-02-26T05:32:00.000000Z
6932,1772083980000000000,89.64,89.77,89.57,89.77,2026-02-26T05:33:00.000000Z
6933,1772084040000000000,89.77,89.78,89.67,89.67,2026-02-26T05:34:00.000000Z
6934,1772084100000000000,89.67,89.77,89.64,89.69,2026-02-26T05:35:00.000000Z
6935,1772084160000000000,89.69,89.85,89.69,89.77,2026-02-26T05:36:00.000000Z
6936,1772084220000000000,89.77,89.8,89.55,89.56,2026-02-26T05:37:00.000000Z
6937,1772084280000000000,89.56,89.56,89.45,89.52,2026-02-26T05:38:00.000000Z
6938,1772084340000000000,89.52,89.53,89.45,89.53,2026-02-26T05:39:00.000000Z
6939,1772084400000000000,89.53,89.58,89.52,89.56,2026-02-26T05:40:00.000000Z
6940,1772084460000000000,89.56,89.56,89.43,89.52,2026-02-26T05:41:00.000000Z
6941,1772084520000000000,89.52,89.61,89.5,89.54,2026-02-26T05:42:00.000000Z
6942,1772084580000000000,89.54,89.67,89.54,89.67,2026-02-26T05:43:00.000000Z
6943,1772084640000000000,89.67,89.67,89.56,89.63,2026-02-26T05:44:00.000000Z
6944,1772084700000000000,89.63,89.72,89.58,89.67,2026-02-26T05:45:00.000000Z
6945,1772084760000000000,89.67,89.67,89.41,89.44,2026-02-26T05:46:00.000000Z
6946,1772084820000000000,89.44,89.49,89.25,89.36,2026-02-26T05:47:00.000000Z
6947,1772084880000000000,89.36,89.37,89.2,89.27,2026-02-26T05:48:00.000000Z
